cross,F2_family,F2_mother,F3_family,label_colour,i,rep,plant_id,tray,sequencing_plate,order,random,coord
8249x6024,F2.32,F2.32.015,F3.40,blue,5,2,F3.40.002,2,1,35,34,F10
8249x6024,F2.32,F2.32.015,F3.40,blue,5,3,F3.40.003,3,2,35,35,F5
8249x6024,F2.32,F2.32.015,F3.40,blue,5,4,F3.40.004,4,2,35,10,B10
1158,S1.12,S1.12.03,S2.36,,1,1,S2.36.001,1,1,45,23,D5
1158,S1.12,S1.12.03,S2.36,,1,2,S2.36.002,2,1,45,48,H12
1158,S1.12,S1.12.03,S2.36,,1,3,S2.36.003,3,2,45,26,E2
1158,S1.12,S1.12.03,S2.36,,1,4,S2.36.004,4,2,45,27,E9
1158,S1.12,S1.12.04,S2.37,,2,1,S2.37.001,1,1,46,15,C3
1158,S1.12,S1.12.04,S2.37,,2,2,S2.37.002,2,1,46,24,D12
1158,S1.12,S1.12.04,S2.37,,2,3,S2.37.003,3,2,46,30,E6
1158,S1.12,S1.12.04,S2.37,,2,4,S2.37.004,4,2,46,34,F10
1158,S1.01,S1.01.02,S2.38,,1,1,S2.38.001,1,1,47,25,E1
1158,S1.01,S1.01.02,S2.38,,1,2,S2.38.002,2,1,47,47,H11
1158,S1.01,S1.01.02,S2.38,,1,3,S2.38.003,3,2,47,45,H3
1158,S1.01,S1.01.02,S2.38,,1,4,S2.38.004,4,2,47,44,H8
6024,S2.01,S2.01.006,S3.01,,1,1,S3.01.001,1,1,36,18,C6
6024,S2.01,S2.01.006,S3.01,,1,2,S3.01.002,2,1,36,2,A8
6024,S2.01,S2.01.006,S3.01,,1,3,S3.01.003,3,2,36,32,F2
6024,S2.01,S2.01.006,S3.01,,1,4,S3.01.004,4,2,36,20,D8
6024,S2.01,S2.01.004,S3.02,,2,1,S3.02.001,1,1,37,13,C1
6024,S2.01,S2.01.004,S3.02,,2,2,S3.02.002,2,1,37,11,B11
6024,S2.01,S2.01.004,S3.02,,2,3,S3.02.003,3,2,37,42,G6
6024,S2.01,S2.01.004,S3.02,,2,4,S3.02.004,4,2,37,7,B7
6024,S2.01,S2.01.002,S3.03,,3,1,S3.03.001,1,1,38,44,H2
6024,S2.01,S2.01.002,S3.03,,3,2,S3.03.002,2,1,38,31,F7
6024,S2.01,S2.01.002,S3.03,,3,3,S3.03.003,3,2,38,7,B1
6024,S2.01,S2.01.002,S3.03,,3,4,S3.03.004,4,2,38,22,D10
6184,S2.15,S2.15.003,S3.04,,1,1,S3.04.001,1,1,39,5,A5
6184,S2.15,S2.15.003,S3.04,,1,2,S3.04.002,2,1,39,33,F9
6184,S2.15,S2.15.003,S3.04,,1,3,S3.04.003,3,2,39,20,D2
6184,S2.15,S2.15.003,S3.04,,1,4,S3.04.004,4,2,39,43,H7
6184,S2.15,S2.15.001,S3.05,,2,1,S3.05.001,1,1,40,39,G3
6184,S2.15,S2.15.001,S3.05,,2,2,S3.05.002,2,1,40,32,F8
6184,S2.15,S2.15.001,S3.05,,2,3,S3.05.003,3,2,40,9,B3
6184,S2.15,S2.15.001,S3.05,,2,4,S3.05.004,4,2,40,2,A8
6184,S2.15,S2.15.002,S3.06,,3,1,S3.06.001,1,1,41,10,B4
6184,S2.15,S2.15.002,S3.06,,3,2,S3.06.002,2,1,41,18,C12
6184,S2.15,S2.15.002,S3.06,,3,3,S3.06.003,3,2,41,19,D1
6184,S2.15,S2.15.002,S3.06,,3,4,S3.06.004,4,2,41,9,B9
8249,S2.14,S2.14.003,S3.07,,1,1,S3.07.001,1,1,42,2,A2
8249,S2.14,S2.14.003,S3.07,,1,2,S3.07.002,2,1,42,26,E8
8249,S2.14,S2.14.003,S3.07,,1,3,S3.07.003,3,2,42,10,B4
8249,S2.14,S2.14.003,S3.07,,1,4,S3.07.004,4,2,42,41,G11
8249,S2.14,S2.14.004,S3.08,,2,1,S3.08.001,1,1,43,3,A3
8249,S2.14,S2.14.004,S3.08,,2,2,S3.08.002,2,1,43,36,F12
8249,S2.14,S2.14.004,S3.08,,2,3,S3.08.003,3,2,43,13,C1
8249,S2.14,S2.14.004,S3.08,,2,4,S3.08.004,4,2,43,28,E10
8249,S2.14,S2.14.002,S3.09,,3,1,S3.09.001,1,1,44,17,C5
8249,S2.14,S2.14.002,S3.09,,3,2,S3.09.002,2,1,44,27,E9
8249,S2.14,S2.14.002,S3.09,,3,3,S3.09.003,3,2,44,25,E1
8249,S2.14,S2.14.002,S3.09,,3,4,S3.09.004,4,2,44,8,B8
